# Vampire numbers in base 12 (sorted ascending)
# Total: 281
# Format: <vampire_b12> = <fang1_b12> * <fang2_b12>  (dec: <vampire> = <f1> * <f2>)
#
101B95 = 105 * B91  (dec: 252257 = 149 * 1693)
102553 = 253 * 501  (dec: 253071 = 351 * 721)
102610 = 201 * 610  (dec: 253164 = 289 * 876)
103410 = 301 * 410  (dec: 254604 = 433 * 588)
104310 = 310 * 401  (dec: 256188 = 444 * 577)
105343 = 303 * 415  (dec: 257955 = 435 * 593)
106210 = 210 * 601  (dec: 259500 = 300 * 865)
10622A = 201 * 62A  (dec: 259522 = 289 * 898)
108170 = 170 * 801  (dec: 262884 = 228 * 1153)
109150 = 150 * 901  (dec: 264588 = 204 * 1297)
109439 = 319 * 409  (dec: 265005 = 453 * 585)
10A740 = 1A0 * 704  (dec: 267168 = 264 * 1012)
1129B3 = 123 * B19  (dec: 274455 = 171 * 1605)
113345 = 315 * 431  (dec: 275237 = 449 * 613)
1137A0 = 1A0 * 731  (dec: 275880 = 264 * 1045)
114A00 = 141 * A00  (dec: 277920 = 193 * 1440)
116798 = 198 * 761  (dec: 281060 = 260 * 1081)
116897 = 167 * 891  (dec: 281203 = 223 * 1261)
116900 = 161 * 900  (dec: 281232 = 217 * 1296)
116A36 = 136 * A61  (dec: 281418 = 186 * 1513)
116B2A = 121 * B6A  (dec: 281554 = 169 * 1666)
118255 = 281 * 515  (dec: 283745 = 385 * 737)
11961A = 161 * 91A  (dec: 286006 = 217 * 1318)
119A75 = 191 * 7A5  (dec: 286649 = 253 * 1133)
11A37B = 1AB * 731  (dec: 287375 = 275 * 1045)
11A460 = 146 * A10  (dec: 287496 = 198 * 1452)
11B2A6 = 121 * BA6  (dec: 288990 = 169 * 1710)
11B780 = 1B8 * 710  (dec: 289680 = 284 * 1020)
120700 = 201 * 700  (dec: 291312 = 289 * 1008)
123460 = 321 * 460  (dec: 296136 = 457 * 648)
123640 = 231 * 640  (dec: 296400 = 325 * 912)
123B74 = 134 * B27  (dec: 297160 = 184 * 1615)
125A90 = 150 * A29  (dec: 300492 = 204 * 1473)
12634B = 321 * 46B  (dec: 301163 = 457 * 659)
126426 = 241 * 626  (dec: 301278 = 337 * 894)
126436 = 236 * 641  (dec: 301290 = 330 * 913)
126480 = 248 * 610  (dec: 301344 = 344 * 876)
128560 = 281 * 560  (dec: 304920 = 385 * 792)
1286B4 = 248 * 61B  (dec: 305128 = 344 * 887)
12A180 = 1A0 * 812  (dec: 307824 = 264 * 1166)
12A848 = 182 * 8A4  (dec: 308792 = 242 * 1276)
12B750 = 2B0 * 517  (dec: 310380 = 420 * 739)
130500 = 301 * 500  (dec: 311760 = 433 * 720)
131A60 = 160 * A13  (dec: 314280 = 216 * 1455)
132780 = 210 * 738  (dec: 315600 = 300 * 1052)
134374 = 371 * 434  (dec: 318472 = 517 * 616)
1344B8 = 384 * 41B  (dec: 318668 = 532 * 599)
134823 = 383 * 421  (dec: 319131 = 531 * 601)
134930 = 393 * 410  (dec: 319284 = 543 * 588)
135340 = 303 * 514  (dec: 320160 = 435 * 736)
1368B9 = 19B * 863  (dec: 322701 = 263 * 1227)
137494 = 397 * 414  (dec: 323824 = 547 * 592)
139856 = 185 * 936  (dec: 327810 = 245 * 1338)
13A480 = 3A0 * 418  (dec: 328992 = 552 * 596)
13B24A = 32A * 4B1  (dec: 330394 = 466 * 709)
140400 = 400 * 401  (dec: 332352 = 576 * 577)
141989 = 189 * 941  (dec: 334905 = 249 * 1345)
141A69 = 169 * A41  (dec: 335025 = 225 * 1489)
142800 = 200 * 814  (dec: 336384 = 288 * 1168)
1434A6 = 341 * 4A6  (dec: 337662 = 481 * 702)
143A30 = 3A1 * 430  (dec: 338436 = 553 * 612)
14400B = 401 * 40B  (dec: 338699 = 577 * 587)
146380 = 380 * 461  (dec: 342672 = 528 * 649)
147A28 = 214 * 7A8  (dec: 345344 = 304 * 1136)
148200 = 200 * 841  (dec: 345888 = 288 * 1201)
149594 = 194 * 954  (dec: 348160 = 256 * 1360)
14A772 = 177 * A42  (dec: 350150 = 235 * 1490)
152350 = 321 * 550  (dec: 356460 = 457 * 780)
152720 = 252 * 710  (dec: 357000 = 350 * 1020)
152760 = 250 * 716  (dec: 357048 = 348 * 1026)
153740 = 310 * 574  (dec: 358752 = 444 * 808)
1539A3 = 1A5 * 933  (dec: 359115 = 269 * 1335)
154330 = 330 * 541  (dec: 359892 = 468 * 769)
154A80 = 180 * A54  (dec: 360960 = 240 * 1504)
15523B = 321 * 55B  (dec: 361487 = 457 * 791)
155320 = 352 * 510  (dec: 361608 = 494 * 732)
155330 = 350 * 513  (dec: 361620 = 492 * 735)
15772A = 257 * 71A  (dec: 365650 = 355 * 1030)
159320 = 310 * 592  (dec: 368520 = 444 * 830)
159B23 = 1B3 * 925  (dec: 369675 = 279 * 1325)
15A290 = 190 * A25  (dec: 370188 = 252 * 1469)
160300 = 300 * 601  (dec: 373680 = 432 * 865)
162A80 = 280 * 6A1  (dec: 378240 = 384 * 985)
16300A = 301 * 60A  (dec: 378442 = 433 * 874)
164A2A = 2AA * 641  (dec: 381634 = 418 * 913)
169294 = 294 * 691  (dec: 389200 = 400 * 973)
17208A = 28A * 701  (dec: 397546 = 394 * 1009)
176827 = 267 * 781  (dec: 405535 = 367 * 1105)
1785B0 = 185 * B70  (dec: 408660 = 245 * 1668)
180260 = 260 * 801  (dec: 415080 = 360 * 1153)
182769 = 281 * 769  (dec: 419265 = 385 * 1089)
18B422 = 242 * 8B1  (dec: 434330 = 338 * 1285)
18BA72 = 1B7 * A82  (dec: 435254 = 283 * 1538)
190240 = 240 * 901  (dec: 435792 = 336 * 1297)
192348 = 231 * 948  (dec: 439400 = 325 * 1352)
192530 = 230 * 951  (dec: 439668 = 324 * 1357)
192BA6 = 1A9 * B26  (dec: 440622 = 273 * 1614)
193580 = 391 * 580  (dec: 441456 = 541 * 816)
193855 = 385 * 591  (dec: 441857 = 533 * 829)
194BA8 = 198 * BA4  (dec: 444080 = 260 * 1708)
19A9B3 = 1A3 * B99  (dec: 454167 = 267 * 1701)
1A02B8 = 201 * AB8  (dec: 456620 = 289 * 1580)
1A2027 = 227 * A01  (dec: 459679 = 319 * 1441)
1A72B6 = 2A1 * 7B6  (dec: 468714 = 409 * 1146)
1A7922 = 212 * A97  (dec: 469610 = 302 * 1555)
1A8216 = 216 * A81  (dec: 470322 = 306 * 1537)
1B0270 = 210 * B07  (dec: 477300 = 300 * 1591)
1B2160 = 210 * B16  (dec: 480600 = 300 * 1602)
1B3240 = 214 * B03  (dec: 482448 = 304 * 1587)
1B3457 = 31B * 745  (dec: 482755 = 455 * 1061)
1B5209 = 215 * B09  (dec: 485865 = 305 * 1593)
213860 = 310 * 826  (dec: 524808 = 444 * 1182)
213B28 = 231 * B28  (dec: 525200 = 325 * 1616)
213B30 = 230 * B31  (dec: 525204 = 324 * 1621)
214670 = 410 * 627  (dec: 526260 = 588 * 895)
216346 = 416 * 623  (dec: 529254 = 594 * 891)
218131 = 321 * 811  (dec: 532405 = 457 * 1165)
218976 = 281 * 976  (dec: 533610 = 385 * 1386)
219B78 = 271 * 9B8  (dec: 535628 = 373 * 1436)
21A4B5 = 245 * AB1  (dec: 536393 = 341 * 1573)
2218B4 = 242 * B18  (dec: 542152 = 338 * 1604)
223640 = 432 * 620  (dec: 545232 = 614 * 888)
231687 = 321 * 867  (dec: 562567 = 457 * 1231)
2317A9 = 279 * A31  (dec: 562737 = 381 * 1477)
231975 = 395 * 721  (dec: 562985 = 545 * 1033)
231B96 = 2B1 * 936  (dec: 563298 = 421 * 1338)
234A80 = 280 * A34  (dec: 568320 = 384 * 1480)
235783 = 323 * 875  (dec: 569619 = 459 * 1241)
237900 = 300 * 927  (dec: 573264 = 432 * 1327)
24186B = 421 * 68B  (dec: 583571 = 601 * 971)
247960 = 479 * 620  (dec: 594072 = 669 * 888)
248A80 = 284 * A80  (dec: 595968 = 388 * 1536)
24A960 = 429 * 6A0  (dec: 599256 = 609 * 984)
24B680 = 268 * B40  (dec: 600576 = 368 * 1632)
2593A2 = 32A * 925  (dec: 617450 = 466 * 1325)
25B760 = 276 * B50  (dec: 621432 = 378 * 1644)
2614A8 = 4A1 * 628  (dec: 624512 = 697 * 896)
26A9B0 = 296 * B0A  (dec: 640788 = 402 * 1594)
26BB2A = 2B2 * A6B  (dec: 642706 = 422 * 1523)
270A36 = 306 * A27  (dec: 644298 = 438 * 1471)
274BB8 = 284 * B7B  (dec: 651452 = 388 * 1679)
276056 = 526 * 607  (dec: 653250 = 750 * 871)
277460 = 427 * 760  (dec: 655560 = 607 * 1080)
277B88 = 288 * B77  (dec: 656600 = 392 * 1675)
2788B6 = 286 * B87  (dec: 657930 = 390 * 1687)
282004 = 402 * 802  (dec: 667012 = 578 * 1154)
28354A = 3A5 * 842  (dec: 669514 = 557 * 1202)
28759B = 295 * B87  (dec: 676487 = 401 * 1687)
297939 = 379 * 929  (dec: 697725 = 525 * 1329)
29B6B3 = 2B3 * B69  (dec: 704295 = 423 * 1665)
2A4A34 = 344 * A2A  (dec: 713416 = 484 * 1474)
2B3600 = 326 * B00  (dec: 731808 = 462 * 1584)
302606 = 602 * 603  (dec: 750822 = 866 * 867)
303B72 = 337 * B02  (dec: 753350 = 475 * 1586)
312B40 = 340 * B21  (dec: 772320 = 480 * 1609)
313A78 = 378 * A31  (dec: 773948 = 524 * 1477)
3153B4 = 334 * B51  (dec: 776440 = 472 * 1645)
316600 = 600 * 631  (dec: 778464 = 864 * 901)
318AB0 = 38B * A10  (dec: 782628 = 539 * 1452)
31BA26 = 326 * BA1  (dec: 787710 = 462 * 1705)
32B51A = 35A * B21  (dec: 807718 = 502 * 1609)
335B60 = 360 * B35  (dec: 819000 = 504 * 1625)
337666 = 636 * 637  (dec: 821742 = 906 * 907)
337942 = 432 * 937  (dec: 822146 = 614 * 1339)
33A494 = 434 * 93A  (dec: 826672 = 616 * 1342)
33A6B9 = 393 * A6B  (dec: 826989 = 543 * 1523)
33AA76 = 3A6 * A37  (dec: 827514 = 558 * 1483)
341B66 = 366 * B41  (dec: 832830 = 510 * 1633)
342739 = 423 * 973  (dec: 833949 = 603 * 1383)
342B49 = 443 * 92B  (dec: 834537 = 627 * 1331)
347B20 = 370 * B42  (dec: 843144 = 516 * 1634)
3517B6 = 371 * B56  (dec: 853050 = 517 * 1650)
354800 = 500 * 834  (dec: 858240 = 720 * 1192)
3557A3 = 533 * 7A5  (dec: 859947 = 759 * 1133)
359460 = 460 * 935  (dec: 866376 = 648 * 1337)
